2025-04-22 21:10:34,526 INFO    MainThread:2569690 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-04-22 21:10:34,527 INFO    MainThread:2569690 [wandb_setup.py:_flush():67] Configure stats pid to 2569690
2025-04-22 21:10:34,527 INFO    MainThread:2569690 [wandb_setup.py:_flush():67] Loading settings from /home/javitrucas/.config/wandb/settings
2025-04-22 21:10:34,527 INFO    MainThread:2569690 [wandb_setup.py:_flush():67] Loading settings from /home/javitrucas/TFG/notebooks/wandb/settings
2025-04-22 21:10:34,527 INFO    MainThread:2569690 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-22 21:10:34,527 INFO    MainThread:2569690 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /home/javitrucas/TFG/notebooks/wandb/run-20250422_211034-2b6t5yix/logs/debug.log
2025-04-22 21:10:34,527 INFO    MainThread:2569690 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /home/javitrucas/TFG/notebooks/wandb/run-20250422_211034-2b6t5yix/logs/debug-internal.log
2025-04-22 21:10:34,527 INFO    MainThread:2569690 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f630b5fe550>
2025-04-22 21:10:34,528 INFO    MainThread:2569690 [wandb_init.py:init():761] calling init triggers
2025-04-22 21:10:34,528 INFO    MainThread:2569690 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'dataset_name': 'panda-patches_512_preset-features_UNI', 'input_feature_dim': 1024, 'feature_dim': 64, 'pooling_type': 'attention', 'num_epochs': 15, 'learning_rate': 0.001, 'batch_size': 1, 'val_prop': 0.2, 'seed': 0, 'use_inst_distances': False, 'adj_mat_mode': 'relative', '_wandb': {}}
2025-04-22 21:10:34,528 INFO    MainThread:2569690 [wandb_init.py:init():784] starting backend
2025-04-22 21:10:34,528 INFO    MainThread:2569690 [wandb_init.py:init():788] sending inform_init request
2025-04-22 21:10:34,532 INFO    MainThread:2569690 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-04-22 21:10:34,533 INFO    MainThread:2569690 [wandb_init.py:init():803] backend started and connected
2025-04-22 21:10:34,536 INFO    MainThread:2569690 [wandb_run.py:_label_probe_notebook():1204] probe notebook
2025-04-22 21:10:34,556 INFO    MainThread:2569690 [wandb_init.py:init():896] updated telemetry
2025-04-22 21:10:34,567 INFO    MainThread:2569690 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-04-22 21:10:35,016 INFO    MainThread:2569690 [wandb_init.py:init():995] starting run threads in backend
2025-04-22 21:10:35,210 INFO    MainThread:2569690 [wandb_run.py:_console_start():2377] atexit reg
2025-04-22 21:10:35,210 INFO    MainThread:2569690 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-04-22 21:10:35,211 INFO    MainThread:2569690 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-04-22 21:10:35,211 INFO    MainThread:2569690 [wandb_run.py:_redirect():2317] Redirects installed.
2025-04-22 21:10:35,215 INFO    MainThread:2569690 [wandb_init.py:init():1037] run started, returning control to user process
2025-04-22 21:14:39,876 INFO    MainThread:2569690 [wandb_run.py:_config_callback():1261] config_cb ('_wandb', 'visualize', 'val_confusion_matrix') {'panel_type': 'Vega2', 'panel_config': {'panelDefId': 'wandb/confusion_matrix/v1', 'fieldSettings': {'Actual': 'Actual', 'Predicted': 'Predicted', 'nPredictions': 'nPredictions'}, 'stringSettings': {'title': 'Confusion Matrix Curve'}, 'transform': {'name': 'tableWithLeafColNames'}, 'userQuery': {'queryFields': [{'name': 'runSets', 'args': [{'name': 'runSets', 'value': '${runSets}'}], 'fields': [{'name': 'id', 'fields': []}, {'name': 'name', 'fields': []}, {'name': '_defaultColorIndex', 'fields': []}, {'name': 'summaryTable', 'args': [{'name': 'tableKey', 'value': 'val_confusion_matrix_table'}], 'fields': []}]}]}}} None
